Inst name,,,,Conn Type,Dir,Resource,In Clk,In Reg,Out Clk,Out Reg,Slew Rate,Drive Strength
SD_CS,,,,GPIO,OUTPUT,GPIOL_00,,,i_sysclk,,,
SPI_SS,,,,GPIO,OUTPUT,GPIOL_01,,,i_sysclk,,,
SPI_SCLK,,,,GPIO,OUTPUT,GPIOL_02,,,i_sysclk,,,
SD_DI,,,,GPIO,INPUT,GPIOL_03,i_sysclk,,,,,
SPI_MOSI,,,,GPIO,OUTPUT,GPIOL_04,,,i_sysclk,,,
SD_DO,,,,GPIO,OUTPUT,GPIOL_05,,,i_sysclk,,,
SPI_MISO,,,,GPIO,INPUT,GPIOL_06,i_sysclk,,,,,
GPIO_J3,[,0,],GPIO,INOUT,GPIOL_07,i_sysclk,,i_sysclk,,,
SD_SCLK,,,,GPIO,OUTPUT,GPIOL_09,,,i_sysclk,,,
RXD,,,,GPIO,INPUT,GPIOL_10,i_sysclk,,,,,
TXD,,,,GPIO,OUTPUT,GPIOL_11,,,i_sysclk,,,
PMOD_CTS,,,,GPIO,INPUT,GPIOL_12,i_sysclk,,,,,
PMOD_GPIO,[,0,],GPIO,INOUT,GPIOL_13,i_sysclk,,i_sysclk,,,
PMOD_TXD,,,,GPIO,OUTPUT,GPIOL_14,,,i_sysclk,,,
PMOD_GPIO,[,1,],GPIO,INOUT,GPIOL_15,i_sysclk,,i_sysclk,,,
PMOD_RXD,,,,GPIO,INPUT,GPIOL_16,i_sysclk,,,,,
PMOD_GPIO,[,2,],GPIO,INOUT,GPIOL_17,i_sysclk,,i_sysclk,,,
PMOD_RTS,,,,GPIO,OUTPUT,GPIOL_18,,,i_sysclk,,,
PMOD_GPIO,[,3,],GPIO,INOUT,GPIOL_19,i_sysclk,,i_sysclk,,,
PLL_IN,,,,PLL_CLKIN,INPUT,GPIOL_20,,,,,,
LED1,,,,GPIO,OUTPUT,GPIOL_21,,,,,,
GPIO_J2,[,13,],GPIO,INOUT,GPIOR_00,i_sysclk,,i_sysclk,,,
GPIO_J2,[,12,],GPIO,INOUT,GPIOR_01,i_sysclk,,i_sysclk,,,
BTN1,,,,GPIO,INPUT,GPIOR_02,,,,,,
GPIO_J2,[,11,],GPIO,INOUT,GPIOR_03,i_sysclk,,i_sysclk,,,
GPIO_J2,[,10,],GPIO,INOUT,GPIOR_05,i_sysclk,,i_sysclk,,,
GPIO_J2,[,9,],GPIO,INOUT,GPIOR_06,i_sysclk,,i_sysclk,,,
GPIO_J2,[,8,],GPIO,INOUT,GPIOR_07,i_sysclk,,i_sysclk,,,
GPIO_J2,[,7,],GPIO,INOUT,GPIOR_08,i_sysclk,,i_sysclk,,,
GPIO_J2,[,6,],GPIO,INOUT,GPIOR_10,i_sysclk,,i_sysclk,,,
GPIO_J2,[,5,],GPIO,INOUT,GPIOR_11,i_sysclk,,i_sysclk,,,
GPIO_J2,[,4,],GPIO,INOUT,GPIOR_12,i_sysclk,,i_sysclk,,,
GPIO_J2,[,3,],GPIO,INOUT,GPIOR_13,i_sysclk,,i_sysclk,,,
GPIO_J2,[,2,],GPIO,INOUT,GPIOR_14,i_sysclk,,i_sysclk,,,
BTN2_J2_7,,,,GPIO,INPUT,GPIOR_15,,,,,,
LED3_J2_6,,,,GPIO,OUTPUT,GPIOR_16,,,,,,
LED4_J2_5,,,,GPIO,OUTPUT,GPIOR_17,,,,,,
GPIO_J2,[,1,],GPIO,INOUT,GPIOR_18,i_sysclk,,i_sysclk,,,
GPIO_J2,[,0,],GPIO,INOUT,GPIOR_19,i_sysclk,,i_sysclk,,,
GPIO_J1,[,0,],GPIO,INOUT,GPIOR_20,i_sysclk,,i_sysclk,,,
GPIO_J1,[,1,],GPIO,INOUT,GPIOR_21,i_sysclk,,i_sysclk,,,
GPIO_J1,[,2,],GPIO,INOUT,GPIOR_22,i_sysclk,,i_sysclk,,,
GPIO_J1,[,3,],GPIO,INOUT,GPIOR_23,i_sysclk,,i_sysclk,,,
GPIO_J1,[,4,],GPIO,INOUT,GPIOR_24,i_sysclk,,i_sysclk,,,
GPIO_J1,[,5,],GPIO,INOUT,GPIOR_25,i_sysclk,,i_sysclk,,,
GPIO_J1,[,6,],GPIO,INOUT,GPIOR_26,i_sysclk,,i_sysclk,,,
GPIO_J1,[,7,],GPIO,INOUT,GPIOR_27,i_sysclk,,i_sysclk,,,
GPIO_J1,[,8,],GPIO,INOUT,GPIOR_28,i_sysclk,,i_sysclk,,,
GPIO_J1,[,9,],GPIO,INOUT,GPIOR_30,i_sysclk,,i_sysclk,,,
GPIO_J1,[,10,],GPIO,INOUT,GPIOR_31,i_sysclk,,i_sysclk,,,
GPIO_J1,[,11,],GPIO,INOUT,GPIOR_32,i_sysclk,,i_sysclk,,,
GPIO_J1,[,12,],GPIO,INOUT,GPIOR_34,i_sysclk,,i_sysclk,,,
GPIO_J1,[,13,],GPIO,INOUT,GPIOR_35,i_sysclk,,i_sysclk,,,
GPIO_J1,[,14,],GPIO,INOUT,GPIOR_36,i_sysclk,,i_sysclk,,,
LED2,,,,GPIO,OUTPUT,GPIOR_37,,,,,,
